country,Jan22,Jan23,Jan24,Jan25,Jan26,Jan27,Jan28,Jan29,Jan30,Jan31,Feb01,Feb02,Feb03,Feb04,Feb05,Feb06,Feb07,Feb08,Feb09,Feb10,Feb11,Feb12,Feb13,Feb14,Feb15,Feb16,Feb17,Feb18,Feb19,Feb20,Feb21,Feb22,Feb23,Feb24,Feb25,Feb26,Feb27,Feb28,Feb29,Mar01,Mar02,Mar03,Mar04,Mar05,Mar06,Mar07,Mar08,Mar09,Mar10,Mar11,Mar12,Mar13,Mar14,Mar15,Mar16,Mar17,Mar18,Mar19,Mar20,Mar21,Mar22,Mar23,Mar24,Mar25,Mar26,Mar27,Mar28,Mar29,Mar30,Mar31,Apr01,Apr02,Apr03,Apr04,Apr05,Apr06,Apr07
ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,4,6,7,9,19,22,36,46,54,71,85,98,120,137,158,174,210
australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,3,3,3,3,5,5,5,6,7,7,7,7,7,8,11,13,13,14,17,19,20,23,25,28,30,37,45,49
india,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,4,5,5,7,10,10,12,20,20,24,27,32,35,58,72,86,99,118,136,160
chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,5,6,7,8,12,16,18,22,27,34,37,43
denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,4,6,9,13,13,24,32,34,41,52,65,72,77,90,104,123,139,161,179,187,203
czech-republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,9,9,11,16,23,31,39,44,53,59,67,78,88
poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,5,5,5,5,5,7,8,10,14,16,16,18,22,31,33,43,57,71,79,94,107,129
romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,17,23,26,37,43,65,82,92,115,133,146,151,176,197
ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,7,7,14,18,27,29,34,41,48,58,62,79,98,120,145,172,180,191,220
peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,5,7,9,9,11,16,18,24,30,38,55,61,73,83,92,107
